epochs	loss_func_tr_region_0_0	loss_func_val_region_0_0	accuracy_tr_region_0_0	accuracy_val_region_0_0	loss_func_tr_region_0_1	loss_func_val_region_0_1	accuracy_tr_region_0_1	accuracy_val_region_0_1	loss_func_tr_region_0_2	loss_func_val_region_0_2	accuracy_tr_region_0_2	accuracy_val_region_0_2	loss_func_tr_region_1_0	loss_func_val_region_1_0	accuracy_tr_region_1_0	accuracy_val_region_1_0	loss_func_tr_region_1_1	loss_func_val_region_1_1	accuracy_tr_region_1_1	accuracy_val_region_1_1	loss_func_tr_region_1_2	loss_func_val_region_1_2	accuracy_tr_region_1_2	accuracy_val_region_1_2
26	6.124500017250512e-06	1.4027817513969865e-05	100.0	100.0	0.00013926486870025556	4.332918618368353e-05	100.0	100.0	0.0006901163700363213	9.15631112493216e-05	99.99	100.0	0.17252880026619197	0.41419568348220126	93.19	84.55	0.1461873453323231	0.2868007802903121	94.49	91.4	0.1600625990843235	0.48337016389864496	93.84	80.0
27	7.858751108976492e-06	7.78183015804501e-06	100.0	100.0	0.0005304250205889627	3.1635679963635254e-05	99.97	100.0	0.0016932991620434877	0.00011683688431539708	99.96	100.0	0.17531398292484898	0.4099239183554437	93.17	85.7	0.1347651684411548	0.2539284869374096	95.08	90.85	0.14891893905175413	0.41258034250532366	94.49	83.9
28	4.705544387915595e-06	8.319654064955272e-06	100.0	100.0	3.821878972750525e-05	1.3477844316376774e-05	100.0	100.0	0.0005890080888844906	9.050373629705888e-05	99.99	100.0	0.16643846048465105	0.3842766531046691	93.35	85.45	0.14408221040267946	0.28510628016519696	94.66	89.8	0.15944961077849018	0.4885268349368762	93.91	79.95
29	6.406709332097193e-06	1.0182880567938924e-05	100.0	100.0	3.6064400824576735e-05	1.4778707068977326e-05	100.0	100.0	0.001068034038122221	0.00015421469088963845	99.97	100.0	0.1838432205842636	0.45418715324842424	92.53	85.3	0.12775618156901458	0.2665930144581919	95.15	91.15	0.1546150020467902	0.4075040225504396	93.89	84.45
30	7.15289675338937e-06	6.7330264773701745e-06	100.0	100.0	2.2629102052725614e-05	1.8667847281868434e-05	100.0	100.0	0.001191881481344792	8.47354802003224e-05	99.97	100.0	0.17811674757674967	0.37846574659987164	92.8	85.8	0.12796833710742833	0.31685476566205306	94.97	88.25	0.15436199730660716	0.4170598523166118	93.9	84.8
31	5.848791493724192e-06	5.104848354584135e-06	100.0	100.0	2.016056331188132e-05	0.006362541314148956	100.0	99.95	0.0007414402267241194	0.0001277797160898544	99.99	100.0	0.17355202319001245	0.38242872323263116	93.17	86.55	0.12808023286184023	0.2782886787984062	95.24	88.45	0.15733512161199498	0.4433022675970169	93.8	80.95
32	4.711985102767713e-06	4.624090027860462e-06	100.0	100.0	1.3934359933072571e-05	1.754754503492251e-05	100.0	100.0	0.0006586159422837951	0.00012215167394829507	99.99	100.0	0.17812941259250858	0.41057711753730836	92.81	85.55	0.13817391019580652	0.31032594281627096	95.06	88.55	0.14526915111792155	0.5052647135343609	94.35	82.65
33	4.953852531796699e-06	6.660088863668534e-06	100.0	100.0	0.00036500953424427427	9.361415584798748e-05	99.99	100.0	0.00021566531390291744	9.437086538420657e-05	99.99	100.0	0.1716447423987032	0.4369091969720341	93.03	83.9	0.13450450489123933	0.2816303807651993	94.86	90.75	0.1590210446040129	0.4502380106400542	93.9	82.35
34	3.562813438005463e-06	4.879549648165948e-06	100.0	100.0	4.221658473340639e-05	0.005368775119299663	100.0	99.95	0.0007270336073843069	0.0002992014651631507	99.97	100.0	0.16951817641898997	0.4005193499113586	93.38	84.85	0.1258420542971686	0.2561993193673607	95.47	90.85	0.14711482534463013	0.4563316397638619	94.36	83.15
35	4.655791796698949e-06	5.922354265720742e-06	100.0	100.0	3.09217147612717e-05	1.5009826647592205e-05	100.0	100.0	0.0007738166437404957	0.00014590940993100787	99.96	100.0	0.16948476541184954	0.450643575338982	92.94	83.95	0.1336060203001361	0.24187566997710905	95.28	90.15	0.148428076308117	0.4093423210183526	94.3	83.65
